"","business_id","name","address","City","State","postal_code","latitude","longitude","stars","review_count","is_open","categories","compliment_count","Business.Status","Format Category"
"1","pJfh3Ct8iL58NZa8ta-a5w","Top Shelf Sports Lounge","3173 Cypress Ridge Blvd","Wesley Chapel","FL","33544",28.1962523878,-82.3806153496,4.5,95,1,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",0,"Open","Bars"
"2","Ucl9Vo5lwrUmYbV8Dv8X5g","O'Briens Irish Pub","15435 N Dale Mabry Hwy","Tampa","FL","33618",28.09236,-82.500588,4,108,1,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues",0,"Open","Bars"
"3","sWCCxY1-9B1FGlSVeQvnHg","CD Roma Restaurant","1462 66th St N","St Petersburg","FL","33710",27.7854888011,-82.7302946082,4,125,1,"Restaurants, Wine Bars, Italian, Food, Sandwiches, Nightlife, Breweries, Bars, Pizza",0,"Open","Bars"
"4","Ea2hPSFazxXITET4f6ZJhw","Beef 'O' Brady's","18421 N US Hwy 41","Lutz","FL","33549",28.140648,-82.461204,3,46,1,"American (Traditional), Pubs, Chicken Wings, Sports Bars, Sandwiches, Bars, Restaurants, Nightlife, Breakfast & Brunch",0,"Open","Bars"
"5","_HcAoG6Jj_XTj4-XNEbo6Q","Fuzzy's Taco Shop","5621 E Fowler Ave, Units 201-207","Tampa","FL","33617",28.0533288743,-82.3928146398,3,172,1,"Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars",0,"Open","Bars"
"6","ryHhnOItSVPJB81Ty0Xb2g","Stonefire Tavern","10637 117th Dr N","Largo","FL","33773",27.8800115344,-82.786168,4,59,0,"Cocktail Bars, Pubs, American (New), Chicken Wings, Salad, Sandwiches, Bars, Sports Bars, Nightlife, Restaurants",0,"Close","Bars"
"7","tXf6TpqHOLiwyMNbYAOOCQ","The Little Lamb","2475 N McMullen Booth Rd, Ste J","Clearwater","FL","33759",28.0114224507,-82.7109746614,4.5,307,1,"Pubs, Gastropubs, Bars, Nightlife, American (New), Restaurants",0,"Open","Bars"
"8","WQ832PDnsDshhbQFm83ISg","Villagio Cinemas","11778 N Dale Mabry Hwy","Tampa","FL","33618",28.055282,-82.506247,3,285,1,"Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars",0,"Open","Bars"
"9","JOvNunKJlWhwJRwLmUR9ZA","Tryst Gastro Lounge","240 Beach Dr NE","St Petersburg","FL","33701",27.7745220251,-82.6327141048,3.5,295,1,"Bars, Beer, Wine & Spirits, Restaurants, Lounges, Tapas/Small Plates, Mediterranean, Food, Nightlife",0,"Open","Bars"
"10","nIE7ph1w_bttQMJQx5hUEQ","D-Town Bar & Grill","1056 Main St","Dunedin","FL","34698",28.0192509782,-82.774851719,3,91,1,"Sports Bars, Nightlife, American (Traditional), Breakfast & Brunch, Cafes, Restaurants, Burgers, Bars",0,"Open","Bars"
"11","WJIc6ZlR-pd9W-Vt-rRtzA","Anani Bistro","3062 Beach Blvd S","Gulfport","FL","33707",27.7389646,-82.7075848,4.5,17,1,"American (New), Juice Bars & Smoothies, Coffee & Tea, Wine Bars, Restaurants, Cafes, Nightlife, Food, Bars, Acai Bowls",0,"Open","Bars"
"12","YlEBQLfRHocJDn4gRlgczw","Brick City Eatery","16540 Pointe Village Dr, Ste 108","Lutz","FL","33558",28.189368941,-82.540934119,4,114,1,"Restaurants, Beer, Wine & Spirits, Breakfast & Brunch, Nightlife, Pizza, Chicken Wings, Bars, Sandwiches, Food, American (Traditional)",0,"Open","Bars"
"13","oVlS3TqJLq6ogSo9tI_U0Q","Gasparilla Pizzeria & Growlers","1028 E Bloomingdale Ave","Valrico","FL","33596",27.894254,-82.268108,4.5,57,1,"Pizza, Nightlife, Chicken Wings, Beer Bar, Sandwiches, Bars, Restaurants",0,"Open","Bars"
"14","nvb8SFi1-LzaQHEhUnw_7g","Gators Cafe & Saloon","12754 Kingfish Dr","Treasure Island","FL","33706",27.7825495,-82.7816064,3,301,0,"Restaurants, Desserts, Music Venues, Bars, Arts & Entertainment, Food, American (Traditional), Sports Bars, Nightlife",0,"Close","Bars"
"15","4JQ0hePJAlBepDzb20_32g","Beanie's Bar & Sports Grill","2002 S US Hwy 41","Ruskin","FL","33570",27.704314281,-82.4425658705,3.5,80,1,"Nightlife, Restaurants, Bars, American (Traditional), American (New), Sports Bars, Chicken Wings, Chicken Shop",0,"Open","Bars"
"16","cg4JFJcCxRTTMmcg9O9KtA","Ava","718 S Howard Ave","Tampa","FL","33606",27.936236,-82.482862,3.5,544,1,"Wine Bars, Desserts, Bars, American (New), Nightlife, Restaurants, Italian, Food, Salad, Breakfast & Brunch, Pizza",0,"Open","Bars"
"17","xCveOAv9FhUGAGr-qNhKuQ","Sweet Island Vibes","351 W Bay Dr","Largo","FL","33770",27.9163243,-82.7918821,3,12,0,"Event Planning & Services, Nightlife, Bars, Seafood, Arts & Entertainment, Caribbean, Restaurants, Cocktail Bars, Venues & Event Spaces, Beer Bar, Music Venues, Caterers",0,"Close","Bars"
"18","ugSj0rWlWQ57-FuKuieGXA","Tampa Pizza Co - Westchase","9556 W Linebaugh Ave","Tampa","FL","33626",28.042926,-82.59231,4,81,1,"Sandwiches, Bars, Italian, Nightlife, Beer Bar, Pizza, Restaurants",0,"Open","Bars"
