"","business_id","name","address","City","State","postal_code","latitude","longitude","stars","review_count","is_open","categories","compliment_count","Business.Status","Region Category"
"1","aNtKyc2rr-uK5cqzY9TVQQ","Chipotle Mexican Grill","10160 Ulmerton Rd","Largo","FL","33771",27.894167,-82.779866,3,19,1,"Mexican, Fast Food, Restaurants",1,"Open","Latin American"
"2","XwoXi0M66RU6Gouq-DSDHw","G Peppers Grill & Tavern","8745 Gunn Hwy","Odessa","FL","33556",28.0921362,-82.5785736,4,82,1,"Restaurants, Mexican, American (Traditional)",0,"Open","Latin American"
"3","Rz0KfP7YAZV_yQE8uIB0fg","El Sabor Boricua","11612 N Nebraska Ave","Tampa","FL","33612",28.0535153,-82.4534422,5,6,0,"Puerto Rican, Caribbean, Latin American, Restaurants",0,"Close","Latin American"
"4","uKEabBQrn0gLzvTppOrKIA","Casita Taqueria","2701 4th St","Saint Petersburg","FL","33704",27.7969762597,-82.6381678127,4.5,207,1,"Mexican, Restaurants",0,"Open","Latin American"
"5","oRZzKWdyMQld6N_y4UWkAg","Terra Sur Cafe","5330 Ehrlich Rd, Ste 103","Tampa","FL","33624",28.0819277157,-82.5391477434,4,316,1,"Latin American, Restaurants, Peruvian, Seafood",0,"Open","Latin American"
"6","H2nFgEFitRk7ltE8IRH0xA","Taco Bell","4647 West Kennedy Blvd","Tampa","FL","33609",27.944918,-82.523213,2.5,42,1,"Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos",0,"Open","Latin American"
"7","_HcAoG6Jj_XTj4-XNEbo6Q","Fuzzy's Taco Shop","5621 E Fowler Ave, Units 201-207","Tampa","FL","33617",28.0533288743,-82.3928146398,3,172,1,"Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars",0,"Open","Latin American"
"8","xqEX7nzaESYmwyS5f_UI9g","Miami's Best Cuban By Los Maruchos","7194 Seminole Blvd","Seminole","FL","33772",27.8377084637,-82.7872937707,4.5,42,0,"Restaurants, Sandwiches, Cuban, Hot Dogs",0,"Close","Latin American"
"9","0t14RIHl4wODz7LRiRRQ0Q","Salty Lime Cantina","1019 Florida Ave","Palm Harbor","FL","34683",28.0783137,-82.7666322,4.5,103,1,"Tex-Mex, Restaurants, Bars, Tacos, Cocktail Bars, Mexican, Nightlife",0,"Open","Latin American"
"10","kJpoduG3wdA35WzOF_T1Aw","Mexico Lindo","6050 Park Blvd","Pinellas Park","FL","33781",27.838651,-82.7173312,4.5,54,1,"Food, Restaurants, Mexican, Grocery",0,"Open","Latin American"
"11","UUOOjXAyk7dBpwTtKCnwyg","Casita Taqueria","2706 4th St N","Saint Petersburg","FL","33704",27.796819,-82.638827,4.5,103,0,"Restaurants, Mexican, Food",0,"Close","Latin American"
"12","xCbhjDqmrCrP1qK4DADu8g","Kul's Bar & Grill","13575 58th St N","Clearwater","FL","33760",27.8952690666,-82.7115350796,3,6,0,"American (Traditional), Latin American, Restaurants",0,"Close","Latin American"
"13","J1pqZt0WWCL8cOt0eixBEw","Alvarez  Authentic Latin Food","7715 Land O' Lakes Blvd","Land O' Lakes","FL","34638",28.2699738723,-82.4808749557,4.5,51,1,"Restaurants, Tacos, Vegetarian, Breakfast & Brunch, Latin American, Mexican",0,"Open","Latin American"
"14","_ReMedGR8eDM5AgdRK0jCw","Shorty's Breakfast & Gourmet Deli","1261 Gulf Blvd, Ste 125","Clearwater","FL","33767",27.9519833,-82.829696,4.5,68,1,"Cuban, Food, Delis, Convenience Stores, American (Traditional), Breakfast & Brunch, Restaurants",0,"Open","Latin American"
"15","w0lcP2ngFaUpBGi5yzlYDw","Yah Mon","301 W Platt St, Unit C","Tampa","FL","33606",27.9422145,-82.4629632,4.5,697,1,"Restaurants, Caribbean",0,"Open","Latin American"
"16","gEltZpDpY54boc3SaerMtg","Irie Bay Cafe","10041 E Adamo Dr","Tampa","FL","33619",27.9430052,-82.3365132,3.5,16,0,"Caribbean, Restaurants",0,"Close","Latin American"
