,Unnamed: 0,business_id,name,address,City,State,postal_code,latitude,longitude,stars,review_count,Business Status,categories,compliment_count,Business.Status,Special Category, Number of Cinemas nearby, Number of Beach nearby,Number of Museum nearby ,Number of ShoppingMall nearby
0,1,vje0KIiE7vtpx7JzmBx5LQ,The Pearl,163 107th Ave,Treasure Island,FL,33706,27.7694046,-82.767317,4.0,129,Open,"Restaurants, French, Moroccan, Seafood, Mediterranean",0,Open,Seafood,0,0,0,0
1,2,SFKjUQ1gmfwm7cJhMCFmkA,ZigZag Scallop,4417 Calienta St,Hernando Beach,FL,34607,28.4977,-82.650015,4.0,214,Open,"Nightlife, Seafood, Bars, Restaurants, American (Traditional)",0,Open,Seafood,0,0,0,0
2,3,oRZzKWdyMQld6N_y4UWkAg,Terra Sur Cafe,"5330 Ehrlich Rd, Ste 103",Tampa,FL,33624,28.0819277157,-82.5391477434,4.0,316,Open,"Latin American, Restaurants, Peruvian, Seafood",0,Open,Seafood,1,0,0,2
3,4,WcUS0B2iFLPAsdUZMwKkWw,Surf and Turf Cafe,101 N Franklin St,Tampa,FL,33602,27.9456571,-82.4567437,3.0,5,Close,"Seafood, Restaurants, Sandwiches",0,Close,Seafood,0,2,0,0
4,5,3n_G-_DwOJ2VS4uGxBN6sg,Lan Zhou Lamen,2716 E Fowler Ave,Tampa,FL,33612,28.0554349,-82.4292524,4.0,78,Open,"Chinese, Noodles, Seafood, Chicken Wings, Restaurants",0,Open,Seafood,1,0,1,0
5,6,ZpXZgnBrNodHH8pKpOK_Kg,Jesse's Steak and Seafood,524 W Brandon Blvd,Brandon,FL,33511,27.9381358,-82.2920736,4.0,267,Open,"Sandwiches, Steakhouses, Restaurants, Seafood",0,Open,Seafood,1,0,0,0
6,7,rc4nXqvuHmqM5JDnKxS5LA,Key West Shrimp Company,"7217 Gulf Blvd, Ste 13",St Pete Beach,FL,33706,27.740791,-82.750265,4.0,32,Open,"Grocery, Seafood, Do-It-Yourself Food, Restaurants, Food, Specialty Food, Seafood Markets",0,Open,Seafood,0,0,0,0
7,8,TghRoAMx43V-9l7mH-SENg,Crabby Bills Clearwater Beach,37 Causeway Blvd,Clearwater Beach,FL,33767,27.9770768,-82.8277495,3.5,408,Close,"Food, Seafood, Restaurants, American (Traditional), Specialty Food, Seafood Markets",0,Close,Seafood,0,0,0,0
8,9,bN7KQSVbEmRVJnQEkl3vkw,Nicks Gyros and Subs,3501 E Hillsborough Ave,Tampa,FL,33610,27.9958027,-82.4213829,3.5,29,Open,"Restaurants, Sandwiches, Salad, Seafood",0,Open,Seafood,0,0,3,0
9,10,W0IFKY22NruJ9dC02yvVqg,Kally K's Steakery & Fishery,1600 Main St,Dunedin,FL,34698,28.0198079969,-82.7603502986,2.5,18,Close,"Seafood, Steakhouses, Restaurants, Breakfast & Brunch",0,Close,Seafood,1,0,1,1
10,11,-zsvmEbkd-K9K2DAAKqiEQ,Salty's Island Bar & Grille,437 S Gulfview Blvd,Clearwater Beach,FL,33767,27.969764,-82.829336,4.0,599,Open,"Mexican, American (New), Seafood, Bars, Sandwiches, Restaurants, Nightlife",0,Open,Seafood,0,0,1,0
11,12,0l0R_1x2RC8pEwP-OG6UxA,Roberts Meats And Catering,3435 S West Shore Blvd,TAMPA,FL,33629,27.911868,-82.52705,3.5,72,Close,"Restaurants, Meat Shops, Barbeque, Seafood, Sandwiches, Butcher, Specialty Food, Delis, Food, Burgers",0,Close,Seafood,0,0,0,0
12,13,encfXG_jrG1M6gX1IqrHrw,Ballyhoo Grill,7604 Ehrlich Rd,Tampa,FL,33625,28.07824,-82.569894,3.5,262,Close,"Restaurants, Seafood, Steakhouses",0,Close,Seafood,1,0,0,0
13,14,4ulvTVp4_eXb3XVMrXfRyQ,Alfresco's,501 5th Ave NE,St Petersburg,FL,33701,27.778450803,-82.6294136794,3.0,12,Close,"Event Planning & Services, Bars, Seafood, Nightlife, Hotels & Travel, Restaurants, Hotels, American (Traditional), American (New)",0,Close,Seafood,2,0,2,0
14,15,xkTjLbBC7uB-rAIDqAm-sw,Los Comparres,5305 N Armenia Ave,Tampa,FL,33603,27.995155,-82.48414,4.5,339,Open,"Street Vendors, Restaurants, Mexican, Food Trucks, Food, Seafood",0,Open,Seafood,0,0,3,0
15,16,zPmSsAdvoBbo94msaYCLYg,Chopstix,1441 E Fletcher Ave,Tampa,FL,33612,28.0688469,-82.4437504,3.0,32,Close,"Restaurants, Chinese, Seafood",0,Close,Seafood,1,0,0,0
16,17,zSEFzAbxnO44w8ACQ_XkAA,Akira Hibachi & Sushi Bar,13420 Boyette Rd,Riverview,FL,33569,27.8521439085,-82.2678940657,4.0,74,Open,"Asian Fusion, Sushi Bars, Restaurants, Gluten-Free, Japanese, Seafood, Steakhouses",0,Open,Seafood,0,0,0,0
17,18,xCveOAv9FhUGAGr-qNhKuQ,Sweet Island Vibes,351 W Bay Dr,Largo,FL,33770,27.9163243,-82.7918821,3.0,12,Close,"Event Planning & Services, Nightlife, Bars, Seafood, Arts & Entertainment, Caribbean, Restaurants, Cocktail Bars, Venues & Event Spaces, Beer Bar, Music Venues, Caterers",0,Close,Seafood,1,0,0,0
18,19,AIz4DpQVVpeC9tiNnGLy_g,Monstah Lobstah,1901 W Platt,Tampa,FL,33606,27.942091,-82.479153,4.0,34,Close,"Seafood, Restaurants",0,Close,Seafood,0,2,0,0
19,20,jIDoMS9MNuyDFVC1P3ZblA,Mr. & Mrs. Crab,6798 Crosswinds Dr N,Saint Petersburg,FL,33710,27.789998,-82.732881,4.0,41,Open,"Seafood, Bars, Cocktail Bars, Cajun/Creole, Nightlife, Restaurants",0,Open,Seafood,1,0,1,0
