"","Year","Format Category","Rating","n"
"1","2005","Desserts",3,1
"2","2005","Events",4.33333333333333,9
"3","2006","Bars",4.21621621621622,37
"4","2006","Desserts",4.28571428571429,7
"5","2006","Events",3.9047619047619,105
"6","2006","Food Delivery",2.14285714285714,7
"7","2006","Food Stores",3.7,10
"8","2006","Juice Bars",3,3
"9","2007","Bars",3.89285714285714,56
"10","2007","Desserts",4,18
"11","2007","Events",4.22480620155039,129
"12","2007","Food Delivery",5,2
"13","2007","Food Stores",3.88235294117647,17
"14","2007","Juice Bars",3.66666666666667,3
"15","2008","Bars",3.70491803278689,122
"16","2008","Desserts",4.38709677419355,31
"17","2008","Events",3.75,372
"18","2008","Food Delivery",3.8,5
"19","2008","Food Stores",3.78260869565217,46
"20","2008","Food Trucks",4,4
"21","2008","Juice Bars",4.57142857142857,14
"22","2009","Bars",3.78477690288714,381
"23","2009","Desserts",4.24770642201835,109
"24","2009","Events",3.96446700507614,788
"25","2009","Food Delivery",3.55555555555556,18
"26","2009","Food Stores",3.99145299145299,117
"27","2009","Food Trucks",4.53846153846154,26
"28","2009","Juice Bars",4.125,16
"29","2010","Bars",3.8306148055207,797
"30","2010","Desserts",4.22754491017964,167
"31","2010","Events",3.8179012345679,1620
"32","2010","Food Delivery",3.04545454545455,22
"33","2010","Food Stores",4.00378787878788,264
"34","2010","Food Trucks",4.1551724137931,116
"35","2010","Juice Bars",4.09090909090909,33
"36","2011","Bars",3.74904109589041,1825
"37","2011","Desserts",4.12600536193029,373
"38","2011","Events",3.78560101490644,3153
"39","2011","Food Delivery",3.48387096774194,62
"40","2011","Food Stores",4.09347826086957,460
"41","2011","Food Trucks",4,200
"42","2011","Juice Bars",4.32258064516129,62
"43","2012","Bars",3.78436163714111,3274
"44","2012","Desserts",4.0462962962963,648
"45","2012","Events",3.80627962085308,5064
"46","2012","Food Delivery",3.47115384615385,104
"47","2012","Food Stores",4.1379781420765,732
"48","2012","Food Trucks",3.94147582697201,393
"49","2012","Juice Bars",4.22839506172839,162
"50","2013","Bars",3.77033256503128,6074
"51","2013","Desserts",4.0479375696767,897
"52","2013","Events",3.77783648131026,7571
"53","2013","Food Delivery",3.40686274509804,204
"54","2013","Food Stores",4.10115350488021,1127
"55","2013","Food Trucks",4.02007299270073,548
"56","2013","Juice Bars",4.23519458544839,591
"57","2014","Bars",3.84598554033486,10512
"58","2014","Desserts",4.03703703703704,1566
"59","2014","Events",3.77581863979849,11910
"60","2014","Food Delivery",3.217125382263,327
"61","2014","Food Stores",4.09395973154362,1788
"62","2014","Food Trucks",3.97072072072072,888
"63","2014","Juice Bars",4.31149825783972,1435
"64","2015","Bars",3.8650829224563,17848
"65","2015","Desserts",4.1472675656494,2818
"66","2015","Events",3.8140350877193,18810
"67","2015","Food Delivery",3.49353448275862,464
"68","2015","Food Stores",4.29220945083014,3915
"69","2015","Food Trucks",4.15360101975781,1569
"70","2015","Juice Bars",4.30668414154653,2289
"71","2016","Bars",3.91807684650607,20092
"72","2016","Desserts",4.13397790055249,3620
"73","2016","Events",3.81176251107691,21441
"74","2016","Food Delivery",3.67029972752044,734
"75","2016","Food Stores",4.31592268752876,4346
"76","2016","Food Trucks",4.10881174899867,1498
"77","2016","Juice Bars",4.27721617418351,2572
"78","2017","Bars",3.91807708718532,21093
"79","2017","Desserts",4.15808823529412,3536
"80","2017","Events",3.81274756931941,22216
"81","2017","Food Delivery",3.70414201183432,676
"82","2017","Food Stores",4.27492034592626,4394
"83","2017","Food Trucks",4.05529646902065,1501
"84","2017","Juice Bars",4.32093558282209,2608
"85","2018","Bars",3.9289708456055,23427
"86","2018","Desserts",4.20416478044364,4418
"87","2018","Events",3.86155476496859,26422
"88","2018","Food Delivery",3.87456846950518,869
"89","2018","Food Stores",4.30059751800214,6527
"90","2018","Food Trucks",4.02480270574972,1774
"91","2018","Juice Bars",4.25661787605107,3211
"92","2019","Bars",3.90557137393226,23531
"93","2019","Desserts",4.15262700825011,4606
"94","2019","Events",3.83974749011256,26296
"95","2019","Food Delivery",3.877444589309,767
"96","2019","Food Stores",4.23410404624277,5190
"97","2019","Food Trucks",4.01438434982739,1738
"98","2019","Juice Bars",4.25520431765613,2594
"99","2020","Bars",3.94607810302097,14929
"100","2020","Desserts",4.15489683231619,3441
"101","2020","Events",3.85621790578254,17916
"102","2020","Food Delivery",3.93423019431988,669
"103","2020","Food Stores",4.21929581369559,3607
"104","2020","Food Trucks",4.13653366583541,1604
"105","2020","Juice Bars",4.20463917525773,1940
"106","2021","Bars",3.8425905230219,17896
"107","2021","Desserts",4.15264797507788,3852
"108","2021","Events",3.76516252231309,24089
"109","2021","Food Delivery",3.86443148688047,686
"110","2021","Food Stores",4.13189189189189,3700
"111","2021","Food Trucks",4.13856812933025,1732
"112","2021","Juice Bars",4.11336982017201,2558
"113","2022","Bars",3.93059936908517,951
"114","2022","Desserts",4.04147465437788,217
"115","2022","Events",3.81941309255079,1329
"116","2022","Food Delivery",3.83870967741935,31
"117","2022","Food Stores",4.38362068965517,232
"118","2022","Food Trucks",4.14117647058824,85
"119","2022","Juice Bars",4.17763157894737,152
