Tampa bay beach ,longtitude,latitude
Ben T Davis Beach,27.972161,82.579423
Davis Beach,27.970308,-82.574953
Ben T Davis Beach2,27.969853,-82.572207
East Tampa Beach,27.966972,-82.570748
Davis Islands Beach,27.909456,-82.447118
Davis dog beach,27.911487,-82.446397
"
Bahia Beach",27.729374,-82.474069
Cortez Beach,27.49296583,-82.7016077
Public Beach,27.44910183,-82.68924808
Bean Point Beach,27.57090312,-82.75104617
Honeymoon Island Beach ,28.12295945,-82.84265972
Sunset Beach,28.17260541,-82.79734112
North Beach,27.68257281,-82.74137336
Apollo Beach,27.78541021,-82.41054143
Lido key Beach,27.33850869,-82.57972613
Manatee Public Beach,27.50004663,-82.71267962
Dunedin Beach,28.07246245,-82.82629221
Gardenville Beach,27.85346016,-82.39524568
Anna Maria Public Beach,27.50898514,-82.70966885
